name,roll_length,statement
"BodyFence Black 1,52",185,"UPDATE products SET roll_length=185, purchase_price=115937.5, delivery_price=9537.5, price_per_meter=150762.5 WHERE name='BodyFence Black 1,52' LIMIT 1;"
"BodyFence M, X Matt, X Satin",185,"UPDATE products SET roll_length=185, purchase_price=85487.5, delivery_price=7087.5, price_per_meter=111125 WHERE name='BodyFence M, X Matt, X Satin' LIMIT 1;"
"BodyFence Wide 1,83",210,"UPDATE products SET roll_length=210, purchase_price=136062.5, delivery_price=14962.5, price_per_meter=176925 WHERE name='BodyFence Wide 1,83' LIMIT 1;"
"Hybrid Black",170,"UPDATE products SET roll_length=170, purchase_price=12687.5, delivery_price=1662.5, price_per_meter=19075 WHERE name='Hybrid Black' LIMIT 1;"
"LUXFIL   TPU  C1",185,"UPDATE products SET roll_length=185, purchase_price=31062.5, price_5_9=21875 WHERE name='LUXFIL   TPU  C1' LIMIT 1;"
"Luxfil ClearShield",190,"UPDATE products SET roll_length=190, purchase_price=25987.5, delivery_price=3850, price_per_meter=44187.5, price_1_4=39025 WHERE name='Luxfil ClearShield' LIMIT 1;"
"Luxfil ClearShield Hard",190,"UPDATE products SET roll_length=190, purchase_price=28000, delivery_price=4112.5, price_per_meter=47600, price_1_4=42000 WHERE name='Luxfil ClearShield Hard' LIMIT 1;"
"Luxfil ClearShield Light",190,"UPDATE products SET roll_length=190, purchase_price=18637.5, delivery_price=2712.5, price_per_meter=31675, price_1_4=28000 WHERE name='Luxfil ClearShield Light' LIMIT 1;"
"Luxfil PPF  Hydrophobic 3M Glue 7,5ml",190,"UPDATE products SET roll_length=190, purchase_price=23975, delivery_price=3500, price_per_meter=40775, price_1_4=35962.5 WHERE name='Luxfil PPF  Hydrophobic 3M Glue 7,5ml' LIMIT 1;"
"Luxfil PPF Generation 1 TPU-S 7,5ml",190,"UPDATE products SET roll_length=190, purchase_price=14000, delivery_price=2012.5, price_per_meter=23800, price_1_4=21000 WHERE name='Luxfil PPF Generation 1 TPU-S 7,5ml' LIMIT 1;"
"Luxfil PPF Generation 2 TPU-SW 7,5ml",190,"UPDATE products SET roll_length=190, purchase_price=14000, delivery_price=2012.5, price_per_meter=23800, price_1_4=21000 WHERE name='Luxfil PPF Generation 2 TPU-SW 7,5ml' LIMIT 1;"
"Luxfil PPF Generation 3 TPU-SS 7,5ml",190,"UPDATE products SET roll_length=190, purchase_price=14000, delivery_price=2012.5, price_per_meter=23800, price_1_4=21000 WHERE name='Luxfil PPF Generation 3 TPU-SS 7,5ml' LIMIT 1;"
"LUXFIL PPF TPH GLOSS",185,"UPDATE products SET roll_length=185, purchase_price=10500, price_5_9=17500 WHERE name='LUXFIL PPF TPH GLOSS' LIMIT 1;"
"LUXFIL PPF TPH MATTE",185,"UPDATE products SET roll_length=185, purchase_price=11375, price_5_9=19250 WHERE name='LUXFIL PPF TPH MATTE' LIMIT 1;"
"LUXFIL PPF TPU GLOSS A",185,"UPDATE products SET roll_length=185, purchase_price=22750, price_5_9=26250 WHERE name='LUXFIL PPF TPU GLOSS A' LIMIT 1;"
"LUXFIL PPF TPU GLOSS S",160,"UPDATE products SET roll_length=160, purchase_price=28437.5, price_5_9=23625 WHERE name='LUXFIL PPF TPU GLOSS S' LIMIT 1;"
"LUXFIL PPF TPU GLOSS SS",160,"UPDATE products SET roll_length=160, purchase_price=31937.5, price_5_9=23625 WHERE name='LUXFIL PPF TPU GLOSS SS' LIMIT 1;"
"LUXFIL PPF TPU MATTE",185,"UPDATE products SET roll_length=185, purchase_price=41125, price_5_9=26250 WHERE name='LUXFIL PPF TPU MATTE' LIMIT 1;"
"LUXFIL SAFETY 12  light",300,"UPDATE products SET roll_length=300, purchase_price=12512.5, delivery_price=2100, price_per_meter=28875, price_1_4=15050 WHERE name='LUXFIL SAFETY 12  light' LIMIT 1;"
"LUXFIL SAFETY 12 (1,83)  light",300,"UPDATE products SET roll_length=300, purchase_price=14875, delivery_price=2450, price_per_meter=34125, price_1_4=17850 WHERE name='LUXFIL SAFETY 12 (1,83)  light' LIMIT 1;"
"LUXFIL SAFETY 4  light",100,"UPDATE products SET roll_length=100, purchase_price=4375, delivery_price=700, price_per_meter=10062.5, price_1_4=5250 WHERE name='LUXFIL SAFETY 4  light' LIMIT 1;"
"LUXFIL SAFETY 4 (1,83)  light",100,"UPDATE products SET roll_length=100, purchase_price=7525, delivery_price=1225, price_per_meter=17325, price_1_4=9012.5 WHERE name='LUXFIL SAFETY 4 (1,83)  light' LIMIT 1;"
"LUXFIL SAFETY 8  light",200,"UPDATE products SET roll_length=200, purchase_price=8137.5, delivery_price=1400, price_per_meter=18812.5, price_1_4=9800 WHERE name='LUXFIL SAFETY 8  light' LIMIT 1;"
"LUXFIL SAFETY 8 (1,83)  light",200,"UPDATE products SET roll_length=200, purchase_price=10062.5, delivery_price=1662.5, price_per_meter=23012.5, price_1_4=11987.5 WHERE name='LUXFIL SAFETY 8 (1,83)  light' LIMIT 1;"
"LLumar Matt",214,"UPDATE products SET roll_length=214, purchase_price=117250, delivery_price=10937.5, price_per_meter=134837.5 WHERE name='LLumar Matt' LIMIT 1;"
"Mono PPF Matte",185,"UPDATE products SET roll_length=185, purchase_price=27300, delivery_price=4025, price_per_meter=46375, price_1_4=40950 WHERE name='Mono PPF Matte' LIMIT 1;"
"Mono TPU Black Gloss",185,"UPDATE products SET roll_length=185, purchase_price=29750, delivery_price=4375, price_per_meter=50575, price_1_4=44625 WHERE name='Mono TPU Black Gloss' LIMIT 1;"
"MONO TPU Black Satin",185,"UPDATE products SET roll_length=185, purchase_price=30625, delivery_price=4462.5, price_per_meter=52062.5, price_1_4=45937.5 WHERE name='MONO TPU Black Satin' LIMIT 1;"
