,,,,,,,,,,0.4,0.25,0.15,,,,,,,,,,,,,,,,,,,,,,,
,№,LLumar,LLumar,,,,,Себес,Доставка,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,,PPF GLOSS,1.52,15,214 мкм,,5,957,1339.8,125.04799999999999,1674.75,1540.77,,,,2,10,38,,50,,1,,,,,,,,,,,,,
,,PPF GLOSS Edge (торцы дверей),"1,6 см",30,214 мкм,"На торцы дверей, подходит для быстрой установки",5,40,50,,62.5,57.5,,,,,145,,,145,,,,,,,,,,,,,,,
,,Valor,1.52,15,214 мкм,,12,1200,1680,156.80000000000001,2100,1932,,,,1,,2,,3,,1,,,,,,,,,,,,,
,,Platinum,1.52,15,214 мкм,,10,1100,1540,143.73333333333332,1925,1771,,,,2,,36,,38,,,,,,,,,,,,,,,
,,Platinum,1.83,15,214 мкм,,10,1523,2132.1999999999998,199.00533333333334,2665.25,2452.0299999999997,,,,,,,,0,,1,,,,,,,,,,,,,
,,Platinum Matt,1.83,15,214 мкм,,10,1200,1680,156.80000000000001,2100,1932,,,System.Xml.XmlElement,,,4,,4,,"1(-2,8)",,,,,,,,,,,,,
,,Platinum Matt,1.52,15,214 мкм,,10,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,
,,Matt,1.524,15,214 мкм,,5,957,1339.8,125.04799999999999,1674.75,1540.77,,,,2,,,,2,,,,,,,,,,,,,,,
,5,System.Xml.XmlElement,1.52,15,214 мкм,,10,1690,2060,192.26666666666668,2575,2369,,,,,,,,0,,,,,,,,,,,,,,,
,,PPF 11.5MIL CLEAR CAP,1.52,15,300 мкм,"Самая толстоя пленка в Мире, идеально подходит для бампера",5,1252,1752.8,163.59466666666668,2191,2015.7199999999998,,,,,,4,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,№,Luxfil,LLumar,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,1,Nexfil PPF Clear,1.52,15,185 мкм,,5,,,,650,600,500,350,,4,,,,4,System.Xml.XmlElement,,,,,,,,,,,,,,
,2,Luxfil Proffesional = Mapro,1.52,15,150 мкм,"Отличный Гидрофоб, устойчив к пожелтению, самозаживление. Производство: Южная Корея",5,,,,900,800,700,400,,,6,20,,26,,,,,,,,,,,,,,,
,3,Luxfil Matt = Mapro,1.52,15,185 мкм,,5,,,,950,850,750,450,,,5,,,5,,,,,,,,,,,,,,,
,4,G-Suit,1.52,15,190 мкм,"Отличный Гидрофоб, устойчив к пожелтению, самозаживление. Производство: Южная Корея",5,,,,900,800,700,400,,,11,9,78,98,,,,,,,,,,,,,,,
,5,PPF  Dark Black (0.61 x 15m),0.61,15,185 мкм,антигравийная пленка для фар (черного цвета),,,,,,,,300,,,,,,0,,,,,,,,,,,,,,,
,6,System.Xml.XmlElement,1.22,30,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
,7,System.Xml.XmlElement,1.52,30,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
,,BRIGHT  ComFlex ST PPF,1.524,15,,,,,,,,,,,,,3,7,20,30,,,,,,,,,,,,,,,
,№,Luxfil (Китай),Luxfil (Китай),,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,,LUXFIL PPF TPH MATTE,1.52,15,185 мкм,гибридная матовая пленка,3,99,130,,,,,220,,,,System.Xml.XmlElement,,0,,,,,,,,,,,,,,,
,,LUXFIL PPF TPH GLOSS,1.52,15,185 мкм,гибридная глянцевая пленка,3,89,120,,,,,200,,1,,,,1,,,,,,,,,,,,,,,
,,LUXFIL PPF TPU GLOSS A,1.52,15,185 мкм,антигравийные пленки,3,199,260,,,,,300,,,1,,,1,,,,,,,,,,,,,,,
,,LUXFIL PPF TPU GLOSS S,1.52,15,160 мкм,,3,249,325,,,,,270,,1,,,,1,,,,,,,,,,,,,,,
,,LUXFIL PPF TPU GLOSS SS,1.52,15,160 мкм,,3,279,365,,,,,270,,1,,,,1,,,,,,,,,,,,,,,
,,LUXFIL PPF TPU MATTE,1.52,15,185 мкм,антигравийная матовая пленка,5,420,470,,,,,300,,,1,,,1,,1,,,,,,,,,,,,,
,,LUXFIL  TPH  А10,1.52,15,185 мкм,,3,135,165,,,,,200,,,2,,,2,,,,,,,,,,,,,,,
,,LUXFIL   TPU  C1,1.52,15,185 мкм,,5,305,355,,,,,250,,,14,,,14,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.2,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,
,№,Mono,Mono,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,,Mono PPF (мягкий топ),1.52,15,185мкм,"НЕ ДЛЯ БЕЛЫХ АВТО! цвет прозрачный, глянец, мягкий лаковый слой, самовосстановление, долгосрочный гидрофобный эффект",5,272,297,43.559999999999995,564.29999999999995,504.9,445.5,,,,6,30,,36,35,,,,,,,,,,,,,,
,,Mono PRO  (твердый топ),1.52,15,185мкм,"НЕ РЕКОМЕНДУЕТСЯ К УСТАНОВКЕ НА ТЕМНЫЕ АВТО! цвет прозрачный, глянец, твердый лаковый слой, самовосстановление, долгосрочный гидрофобный эффект",5,295,320,46.93333333333333,608,544,480,,,,3,22,,25,35,1нач (-10),,,,,,,,,,,,,
,,MONO TPU PPF Plus (мягкий топ),1.52,15,210мкм,"НЕ ДЛЯ БЕЛЫХ АВТО! цвет прозрачный, глянец, мягкий лаковый слой, самовосстановление без нагрева, гидрофобный эффект",5,341,366,53.68,695.40000000000009,622.20000000000005,549,,,,2,,,2,,,,,,,,,,,,,,,
,,Mono PPF Matte,1.52,15,185мкм,"цвет прозрачный, матт, мягкий лаковый слой, самовосстановление при нагреве, долгосрочный гидрофобный эффект, устойчивость к пожелтению",5,287,312,45.76,592.79999999999995,530.4,468,,,,4,,,4,35,1,,,,,,,,,,,,,
,,MONO TPU Satin,1.52,15,185мкм,"цвет прозрачный, матт, мягкий лаковый слой, самовосстановление при нагреве, долгосрочный гидрофобный эффект, устойчивость к пожелтению",5,287,312,45.76,592.79999999999995,530.4,468,,,,5,10,,15,20,,20,,,,,,,,,,,,
,,Mono TPU Black Gloss,1.52,15,185мкм,"цвет черный, глянец, мягкий лаковый слой, самовосстановление без нагрева, долгосрочный гидрофобный эффект",5,315,340,49.866666666666667,646,578,510,,,,,,,0,10,"1(3,6)+1(ост0,7)",,,,,,,,,,,,,
,,MONO TPU Black Satin,1.52,15,185мкм,"цвет прозрачный, сатин, твердый лаковый слой, самовосстановление с нагревом, усиленный гидрофобный эффект",5,325,350,51.333333333333336,665,595,525,,,,4,,,4,10,"(-3,2м)+(-2,7)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.2,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,
,№,VERSA,VERSA,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,1,Medium (средний топ),1.52,15,185мкм,"восстановление при нагреве, интенсивный гидрофобный эффект",5,188,213,31.240000000000002,404.70000000000005,362.1,319.5,,,,,,,0,50,1 нач (-3),50,,,,,,,,,,,,
,2,Soft (мягкий топ),1.52,15,185мкм,"НЕ ДЛЯ БЕЛЫХ АВТО! моментальное восстановление, интенсивный гидрофобный эффект",3,171,196,28.746666666666666,372.4,333.2,294,,,,11,16,,27,50,,10,,,,,,,,,,,,
