,,,,,,,,,,,,2,0.5,,0.3,,,,,,,,,,,,,,,,,,,,,,,
,№,LLumar,склад итого,LLumar,,,,,Себес,Достава,Цена С КЗ,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ  апрель,,Предзаказ май,System.Xml.XmlElement,,,,,,,,,,
,,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,,
с,29,PP 70 AG SR HPR,,1.52,30,50 мкм,System.Xml.XmlElement,10,,,,20,,,,500,,,,,,0,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,315,,189,0,,,,,,,,,,
,,,,,,,,,,,,2.5,0.7,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,
,№,Luxfil,,Luxfil,,,,,Себес,Достава,,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,Предзаказ,,,,,,,,,,,
,,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,,
,1,Carbon CBS ST BK 0330,1184,1.52,30,50 мкм,окрашеная тонирующая,3,57,67,,7.8166666666666664,113.9,100.5,83.75,,33,,2,,1149,1184,150,,,,,,,,,,,,,,,
,2,Carbon CBS ST BK 0530,300,1.52,30,50 мкм,,,57,67,,7.8166666666666664,113.9,100.5,83.75,,12,,3,,285,300,150,,,,,,,,,,,,,,,
,3,Carbon CBS ST BK 1530,267,1.52,30,50 мкм,,,57,67,,7.8166666666666664,113.9,100.5,83.75,,10,,,,257,267,,,,,,,,,,,,,,,,
,4,Carbon CBS ST BK 2030,102,1.52,30,50 мкм,,,57,67,,7.8166666666666664,113.9,100.5,83.75,,18,,3,,81,102,,,,,,,,,,,,,,,,
,5,Carbon CBS ST BK 3530,103,1.52,30,50 мкм,,,57,67,,7.8166666666666664,113.9,100.5,83.75,,5,,,,98,103,,,,,,,,,,,,,,,,
,6,Carbon CBS ST BK 5030,92,1.52,30,50 мкм,,,57,67,,7.8166666666666664,113.9,100.5,83.75,,34,,,,58,92,,,,,,,,,,,,,,,,
,7,Carbon CBS ST BK 7030,84,1.52,30,50 мкм,,,57,67,,7.8166666666666664,113.9,100.5,83.75,,8,,,,76,84,,,,,,,,,,,,,,,,
,8,HP 03 Black SR PS,159,1.52,30,50 мкм,метализированная тонирующая,5,67,77,,8.9833333333333325,130.9,115.5,96.25,,16,,12,,131,159,,,,,,,,,,,,,,,,
,9,HP 05 Black SR PS,185,1.52,30,50 мкм,,,67,77,,8.9833333333333325,130.9,115.5,96.25,,7,,2,,176,185,,,,,,,,,,,,,,,,
,10,HP 15 Black SR PS,86,1.52,30,50 мкм,,,67,77,,8.9833333333333325,130.9,115.5,96.25,,9,,11,,66,86,,,,,,,,,,,,,,,,
,11,HP 20 Black SR PS,125,1.52,30,50 мкм,,,67,77,,8.9833333333333325,130.9,115.5,96.25,,7,,,,118,125,,,,,,,,,,,,,,,,
,12,HP 35 Black SR PS,87,1.52,30,50 мкм,,,67,77,,8.9833333333333325,130.9,115.5,96.25,,5,,10,,72,87,,,,,,,,,,,,,,,,
,13,HP 50 Black SR PS,43,1.52,30,50 мкм,,,67,77,,8.9833333333333325,130.9,115.5,96.25,,5,,10,,28,43,,,,,,,,,,,,,,,,
,14,HP 70 Black SR PS,36,1.52,30,50 мкм,,,67,77,,8.9833333333333325,130.9,115.5,96.25,,7,,,,29,36,,,,,,,,,,,,,,,,
,15,Ceramic PIR8070,59,1.52,30,50 мкм,"керамические пленки. (прозрачная, голубая и зеленая)",3,137,147,,17.149999999999999,249.89999999999998,220.5,183.75,,8,,,,51,59,,,,,,,,,,,,,,,,
,16,Super IR 7080 BLUE NEW,125,1.52,30,50 мкм,,,152,162,,18.899999999999999,275.39999999999998,243,202.5,,2,,,,123,125,,,,,,,,,,,,,,,,
,17,Super IR 7080 GREEN,19,1.52,30,50 мкм,,,152,162,,18.899999999999999,275.39999999999998,243,202.5,,3,,,,16,19,,,,,,,,,,,,,,,,
,,Ceramic 90,17,,,,,,,,,,,,,,,,,17,,17,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,№,Luxfil (Китай),,Luxfil (Китай),,,,,Себес,Достава,,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,Предзаказ 2,,,,,,,,,,,
,,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,,
,1,LUXFIL CARBON NANO CERAMIC 0590,72,1.52,30,50 мкм,керамика тонирующая,3,56,72.8,,8.4933333333333341,123.75999999999999,109.19999999999999,91,,,,,72,,72,,,,,,,,,,,,,,,,
,2,LUXFIL CARBON NANO CERAMIC 1590,2,1.52,30,50 мкм,,,56,72.8,,8.4933333333333341,123.75999999999999,109.19999999999999,91,,2,,,,,2,,,,,,,,,,,,,,,,
,3,LUXFIL CARBON NANO CERAMIC 3590,12,1.52,30,50 мкм,,,56,72.8,,8.4933333333333341,123.75999999999999,109.19999999999999,91,,6,,,6,,12,,,,,,,,,,,,,,,,
,4,LUXFIL CARBON NANO CERAMIC 5090,0,1.52,30,50 мкм,,,56,72.8,,8.4933333333333341,123.75999999999999,109.19999999999999,91,,,,,,,,,,,,,,,,,,,,,,,
,5,LUXFIL CARBON NANO CERAMIC 7090,33,1.52,30,50 мкм,,,56,72.8,,8.4933333333333341,123.75999999999999,109.19999999999999,91,,2,,2,11,18,33,,1,,,,,,,,,,,,,,
,6,LUXFIL PPF Tint 05 limited edition,4,1.52,15,200 мкм,PPF тонировка (для заднего лобового),1,150,200,,35,400,350,300,,,,4,,,4,,1,,,,,,,,,,,,,,
,7,LUXFIL PPF Tint 15 limited edition,1,1.52,15,200 мкм,,,150,200,,35,400,350,300,,,,1,,,1,,1,,,,,,,,,,,,,,
,8,LUXFIL CERAMIC IR7590,74,1.52,30,50 мкм,керамическая для лобового 75%,5,75,97.5,,11.375,165.75,146.25,121.875,,,1,,73,,74,,,,,,,,,,,,,,,,
,9,LUXFIL AIR90   Blue,86,1.52,30,50 мкм,Атермальная с голубым оттенком,5,63,83,,9.6833333333333336,141.1,124.5,103.75,,3,,,83,,86,,,,,,,,,,,,,,,,
,,LUXFIL BLACK 03,0,1.52,30,50 мкм,окрашеная тонирующая,0,28,36.4,,4.246666666666667,61.879999999999995,54.599999999999994,45.5,45,,,,,,0,,,,,,,,,,,,,,,,
